time_s,pos_x,pos_y,theta,lateral_error,angular_w,target_y
1e-07,0,0,0,0,0,0.0
0.0100001,0.0,0.0,0.0,0.0,0.0,0.0
0.0200001,0.0,0.5,0.0,0.0010441613753521815,0.3174250581070631,0.0
0.0300001,0.0,0.5,0.0,0.0028287855815191817,0.5467024041761768,0.0
0.0400001,0.004999974810354272,0.5000158712262526,0.0031742505810706313,-0.096515336471038,-0.2532975958238233,0.0
0.0500001,0.009999788132448138,0.5000590770616538,0.0086412746228324,-0.1779787609112661,-1.0532975958238233,0.0
0.0600001,0.014999694854456727,0.5000896183650532,0.006108298664594166,-0.24073488334515436,-1.8532975958238234,0.0
0.0700001,0.019999645910113696,0.5000674950507726,-0.0044246772936440675,-0.29252744228610605,-2.6532975958238234,0.0
0.0800001,0.024998328333377628,0.49995271686751364,-0.0229576532518823,-0.3355166989531592,-3.0,0.0
0.0900001,0.02999220627715575,0.4997053647245142,-0.04949062921012054,-0.3687380928005254,-3.0,0.0
0.1000001,0.03497641769314207,0.49930833001475744,-0.07949062921012054,-0.3934478525448354,-3.0,0.0
0.1100001,0.03994647712748637,0.498761970042683,-0.10949062921012054,-0.41297151315050395,-3.0,0.0
0.1200001,0.0448979118621667,0.49806677649538766,-0.13949062921012054,-0.4298744126046072,-3.0,0.0
0.1300001,0.04982626594013366,0.49722337500013974,-0.16949062921012054,-0.44375050676834615,-3.0,0.0
0.1400001,0.054727104175371,0.49623252456135714,-0.19949062921012053,-0.4544486751206314,-3.0,0.0
0.1500001,0.059596016144263665,0.4950951168775543,-0.22949062921012053,-0.4611177279053056,-3.0,0.0
0.1600001,0.06442862015468136,0.49381217553887397,-0.25949062921012056,-0.4672809760692045,-3.0,0.0
0.1700001,0.06922056718920568,0.492384855105925,-0.2894906292101206,-0.47237518743328716,-3.0,0.0
0.1800001,0.07396754481895226,0.4908144400707558,-0.3194906292101206,-0.4755602417852848,-2.8577572727404243,0.0
0.1900001,0.07866528108446574,0.4891023437008982,-0.34949062921012064,-0.4780146814917738,-2.648390637913798,0.0
0.2000001,0.08331217831326505,0.4872567147715147,-0.3780682019375249,-0.4810668797545648,-2.8399269978555646,0.0
0.2100001,0.08790857222674783,0.4852886794587984,-0.4045521083166629,-0.48339148602403725,-2.630947824937884,0.0
0.2200001,0.09244722947270696,0.48319092103521794,-0.4329513782952185,-0.48350686846091356,-1.9686422049065473,0.0
0.2300001,0.09692913144301653,0.4809744926631438,-0.45926085654459736,-0.48319708077020346,-1.839852015867782,0.0
0.2400001,0.10136653422311068,0.4786702668566715,-0.4789472785936628,-0.4835236461532329,-2.0320641995217645,0.0
0.2500001,0.10576079402846532,0.4762847939972483,-0.49734579875234064,-0.48253519531457756,-1.6336055296617078,0.0
0.2600001,0.11010567560354159,0.4738105256006182,-0.5176664407475583,-0.48236277948403367,-1.8777263687729668,0.0
0.2700001,0.11440955945181358,0.47126561227781455,-0.5340024960441754,-0.48254858225011626,-1.9859351588252447,0.0
0.2800001,0.11866490087814152,0.4686403371788245,-0.5527797597319051,-0.4824782557341356,-1.9088150681423455,0.0
0.2900001,0.12286727035757632,0.4659310769922948,-0.5726391113201575,-0.479806190232612,-1.1176051104733675,0.0
0.3000001,0.12701716265155594,0.4631420997696613,-0.591727262001581,-0.4770126648825803,-1.0699930545208145,0.0
0.3100001,0.13113562667581175,0.46030691827971915,-0.6029033131063146,-0.4760316458774798,-1.6098208819797684,0.0
0.3200001,0.13522351927773432,0.45742783264793485,-0.6136032436515227,-0.4721828272235771,-0.8098208819797683,0.0
0.3300001,0.1392645360777896,0.45448331516256124,-0.6297014524713205,-0.4706403624737702,-1.4198220249530262,0.0
0.3400001,0.14328157531479807,0.4515061695886374,-0.6377996612911182,-0.46755212560725556,-0.9437374424746243,0.0
0.3500001,0.1472559409138422,0.4484722911986661,-0.6519978815406484,-0.46583941547578533,-1.3495446224620724,0.0
0.3600001,0.15120149810636355,0.44540104089292043,-0.6614352559653947,-0.4648038346181445,-1.5485410811803297,0.0
0.3700001,0.15510524937273043,0.44227682482319364,-0.6749307021900154,-0.46329610222145456,-1.4008646898788355,0.0
0.3800001,0.1589601547569127,0.439092534560199,-0.6904161130018187,-0.4616285188898303,-1.3462390760720444,0.0
0.3900001,0.16277007576079738,0.4358545564960117,-0.704424759900607,-0.45958950656312303,-1.2266543282403084,0.0
0.4000001,0.16653606191326206,0.43256558275038154,-0.7178871506613275,-0.4538992955388146,-0.42665432824030836,0.0
0.4100001,0.17026142141186168,0.4292306619707837,-0.7301536939437305,-0.45007813070520303,-0.6539630727373451,0.0
0.4200001,0.17397251846274236,0.4258798771852529,-0.7344202372261336,-0.4452882348350285,-0.3441841782877544,0.0
0.4300001,0.1776616234191348,0.4225048950192673,-0.740959867953507,-0.44094251073442264,-0.4600528127559349,0.0
0.4400001,0.18133909039277246,0.4191172355532341,-0.7444017097363845,-0.4392962345106552,-1.260052812755935,0.0
0.4500001,0.18500093348225935,0.41571269370623365,-0.7490022378639439,-0.4374772041637058,-1.2041997125699992,0.0
0.4600001,0.18861958798400996,0.41226228219498456,-0.7616027659915032,-0.4329366938008895,-0.4041997125699992,0.0
0.4700001,0.19219643127761885,0.4087685460783087,-0.7736447631172032,-0.4281199116551232,-0.2674450028906006,0.0
0.4800001,0.19575912371960938,0.405260380950527,-0.7776867602429032,-0.4269146854023858,-1.0674450028906006,0.0
0.4900001,0.19931242101906024,0.4017427001375886,-0.7803612102718092,-0.42397952253813687,-0.8153692308778651,0.0
0.5000001,0.20282796728721295,0.3981872909576942,-0.7910356603007151,-0.42155097558011373,-0.9576398149135139,0.0
0.5100001,0.20631440730324552,0.39460333559879157,-0.7991893526094938,-0.4163039094082628,-0.15763981491351386,0.0
0.5200001,0.20976636659544212,0.3909861575488447,-0.8087657507586289,-0.4109227238465667,-0.029335226877440057,0.0
0.5300001,0.2132126194881051,0.38736354233331155,-0.810342148907764,-0.4062120434003204,-0.2116440397273962,0.0
0.5400001,0.21665780953010635,0.38373991630756116,-0.8106355011765384,-0.40266750408502167,-0.5473082217504632,0.0
0.5500001,0.22009532267327617,0.3801090068635603,-0.8127519415738124,-0.40134966549709383,-1.2100470856100254,0.0
0.5600001,0.2235129121651587,0.3764593381025665,-0.818225023791317,-0.39796949002526255,-0.5778253185516657,0.0
0.5700001,0.2268860898232267,0.3727685831002518,-0.8303254946474172,-0.3956024047866462,-0.8722840475616829,0.0
0.5800001,0.23023788517109375,0.36905839874553076,-0.8361037478329338,-0.39127693016592835,-0.26746533444835485,0.0
0.5900001,0.23355719006830486,0.36531911873470646,-0.8448265883085506,-0.3860567600294763,0.021824000817706857,0.0
0.6000001,0.23686648182688785,0.3615709741194902,-0.8475012416530342,-0.3828032306734213,-0.5551541158771864,0.0
0.6100001,0.2401765915017672,0.35782355181338826,-0.8472830016448571,-0.3795948546982584,-0.5558666262441527,0.0
0.6200001,0.24346584630632412,0.35405781113847457,-0.852834542803629,-0.37686413341513547,-0.6882401487236702,0.0
0.6300001,0.24673411790620217,0.35027384486623714,-0.8583932090660705,-0.3738612443247932,-0.5945782501964834,0.0
0.6400001,0.24997626953203606,0.34646747483231993,-0.8652756105533073,-0.3717317463106846,-0.8480775810101719,0.0
0.6500001,0.2531957321342366,0.34264189506540454,-0.8712213930552721,-0.3661021407095838,-0.0480775810101719,0.0
0.6600001,0.25638263546409285,0.33878914965905454,-0.8797021688653739,-0.3631092383508522,-0.5545662457839229,0.0
0.6700001,0.2595676861189077,0.3349348725120056,-0.8801829446754756,-0.3572510584230516,0.24543375421607716,0.0
0.6800001,0.26273131338621486,0.3310629915074355,-0.8857286071333149,-0.3538228792270299,-0.3868377581016005,0.0
0.6900001,0.2659044340184087,0.3271988867659015,-0.8832742695911542,-0.3490381409670578,0.03926891412338507,0.0
0.7000001,0.2690625831299238,0.32332253613812845,-0.8871426471721702,-0.3437676932075443,0.20606355502387852,0.0
0.7100001,0.27222225419869817,0.3194474259800619,-0.8867499580309364,-0.3409840222052781,-0.5288347881412601,0.0
0.7200001,0.27538990374324906,0.315578834975199,-0.8846893224806975,-0.3359656210788017,0.1616578536277271,0.0
0.7300001,0.27853705063398665,0.3116935465112467,-0.8899776703621102,-0.33318246783548267,-0.4977838983462264,0.0
0.7400001,0.2816904742836669,0.3078133507319544,-0.8883610918258329,-0.32963957337818506,-0.25568995632345803,0.0
0.7500001,0.2848245439542268,0.30391750585566935,-0.8933389308092952,-0.32498412527328896,0.09669793037567365,0.0
0.7600001,0.2879486421067246,0.30001366022173864,-0.8958958303725297,-0.3206033412809839,0.03182183256758564,0.0
0.7700001,0.29107651373597493,0.29611283735073685,-0.894928851068773,-0.31797531660675227,-0.4834938641575226,0.0
0.7800001,0.2942056265201584,0.29221301002329536,-0.8946106327430972,-0.3139434724256076,-0.04622063535903198,0.0
0.7900001,0.29731584737797634,0.28829809926880884,-0.8994455713846724,-0.31134077956973566,-0.4645552615173587,0.0
0.8000001,0.3004242584070087,0.28438175136871235,-0.8999077777382627,-0.3057615816396537,0.33544473848264134,0.0
0.8100001,0.30351444235975544,0.2804510054931581,-0.9045533303534363,-0.303795018620338,-0.4645552615173587,0.0
0.8200001,0.30661779438214815,0.2765306475726219,-0.90119888296861,-0.2985169510072825,0.33544473848264134,0.0
0.8300001,0.3097029007541508,0.2725959152216953,-0.9058444355837836,-0.29489890154859244,-0.09418076858735702,0.0
0.8400001,0.31280118859676354,0.26867155381576974,-0.9024899881989572,-0.29313094001530526,-0.642135300075068,0.0
0.8500001,0.3158957790720952,0.26474427615942986,-0.9034317958848308,-0.28811486243230383,0.15786469992493202,0.0
0.8600001,0.3189650874839683,0.2607972081497795,-0.9098531488855814,-0.2851593480063761,-0.2539830642471854,0.0
0.8700001,0.32204062309577114,0.2568549904109259,-0.9082745018863321,-0.2809910738516792,0.1265179510023513,0.0
0.8800001,0.32510613623319184,0.25290497405598494,-0.910814332528804,-0.27632592464666983,0.29424106291613406,0.0
0.8900001,0.32817664439558464,0.24895883928577253,-0.9095491530187805,-0.27046785260839656,0.6755502010483934,0.0
0.9000001,0.33125875039823194,0.24502175628074896,-0.9066067423896191,-0.26834565004070715,-0.12444979895160668,0.0
0.9100001,0.33436738284226386,0.2411055841282623,-0.8998512403791352,-0.26540640885072025,-0.1798532784068121,0.0
0.9200001,0.3374711392118973,0.23718554632258237,-0.9010957383686513,-0.2596811709816028,0.620146721593188,0.0
0.9300001,0.3405678402489331,0.23325993265243836,-0.9028942711527195,-0.2547929920340796,0.44728171612063905,0.0
0.9400001,0.34368882614782936,0.2293535984349282,-0.8966928039367876,-0.25300451420839865,-0.352718283879361,0.0
0.9500001,0.34682725308787676,0.22546126284533874,-0.8922199867755812,-0.24753593462580725,0.44728171612063905,0.0
0.9600001,0.34995193155450277,0.22155788168534377,-0.8957471696143748,-0.24363514889256938,0.1956951244010856,0.0
0.9700001,0.3530940378169008,0.21766851563985523,-0.8912743524531684,-0.24174603640749204,-0.4002504001067668,0.0
0.9800001,0.3562437493575673,0.21378530598666984,-0.8893174012091576,-0.23636686797629028,0.3997495998932332,0.0
0.9900001,0.3593778931483426,0.20988952073864287,-0.8933199052102253,-0.23147671812080892,0.5411380841611731,0.0
1.0000001,0.3625275852418474,0.20600629531174405,-0.889322409211293,-0.22867787185531396,-0.07505760777276993,0.0
1.0100001,0.3656982447283027,0.20214017084130195,-0.8839110283696813,-0.22503401492719488,0.19302101872694521,0.0
1.0200001,0.368866001501371,0.19827166763894064,-0.8846616044474089,-0.22024755277023342,0.5549484360075053,0.0
1.0300001,0.3720412193930215,0.19440928607563765,-0.8827313942601395,-0.21837389690717637,-0.24505156399249473,0.0
